record_id,version,phase,banner_type,banner_name,featured_characters,featured_weapons,start_date,end_date,timezone,source_url,source_type,announcement_date,status,notes,last_checked
ww-3.2-phase-2-character,3.2,Phase 2,character,Version 3.2 Phase 2,Sigrika|Qiuyuan,,2026-03-19 00:00,2026-04-09 23:59,See official notice,https://www.dearplayers.com/en-US/updates/wuthering-waves/2029859537004736723,official_social,2026-03-13,official,History row used for rerun context and recent phase spacing. Dates and lineup now point to the official 3.2 preview broadcast distribution chain instead of a media roundup.,2026-06-18
ww-3.3-phase-1-character,3.3,Phase 1,character,Version 3.3 Phase 1,Hiyuki|Mornye|Iuno,,2026-04-30 00:00,2026-05-21 23:59,See official notice,https://blog.playstation.com/2026/04/17/wuthering-waves-version-3-3-reverbs-from-the-end-of-galaxies-update-arrives-april-30/,official_site,2026-04-17,official,Current live phase on May 19 2026 according to public schedule and official 3.3 update announcement.,2026-06-18
ww-3.3-phase-1-weapon,3.3,Phase 1,weapon,Version 3.3 Phase 1 Weapons,,Frostburn|Starfield Calibrator|Moongazer's Sigil,2026-04-30 00:00,2026-05-21 23:59,See official notice,https://www.pcgamer.com/games/rpg/wuthering-waves-banner-next-current/,secondary_media,2026-04-30,official,Weapon banner names cross-checked against public banner trackers pending direct in-game reconfirmation.,2026-05-19
ww-3.3-phase-2-character,3.3,Phase 2,character,Version 3.3 Phase 2,Denia|Chisa|Phrolova,,2026-05-21 10:00,2026-06-07 11:59,See official notice,https://www.dearplayers.com/en-US/events/wuthering-waves,official_social,2026-05-20,official,Current live phase verified against the official 3.3 Phase II convene notice and DearPlayers indexed event listings for Denia Chisa and Phrolova.,2026-06-18
ww-3.3-phase-2-weapon,3.3,Phase 2,weapon,Version 3.3 Phase 2 Weapons,,Forged Dwarf Star|Kumokiri|Lethean Elegy,2026-05-21 10:00,2026-06-07 11:59,See official notice,https://www.dearplayers.com/en-US/updates/wuthering-waves/2056935442847535238,official_social,2026-05-20,official,Weapon banner names and timing aligned to the official 3.3 Phase II convene notice and DearPlayers indexed weapon-convene listing.,2026-06-18
ww-3.4-phase-1-character,3.4,Phase 1,character,Version 3.4 The Dream Not Dreamed,Lucy|Rebecca|Lucilla|Cartethyia,,2026-06-08 10:00,2026-07-09 11:59,Server time,https://www.dearplayers.com/en-MY/updates/wuthering-waves/2060330327235518818,official_social,2026-05-29,official,Version 3.4 launches on June 8 with collaboration convenes through July 9 plus Lucilla on June 13 and Cartethyia on June 18. Keep exact sub-banner timing under manual review until the official notice is mirrored in a stable text page.,2026-06-18
ww-3.4-phase-1-weapon,3.4,Phase 1,weapon,Version 3.4 The Dream Not Dreamed Weapons,,Spectral Trigger|Skull Thrasher|Freeze Frame|Defier's Thorn,2026-06-08 10:00,2026-07-09 11:59,Server time,https://www.dearplayers.com/en-MY/updates/wuthering-waves/2060330327235518818,official_social,2026-05-29,official,Version 3.4 weapon convenes include collab weapons from the update launch plus Freeze Frame on June 13 and Defier's Thorn on June 18. Keep exact sub-banner timing under manual review until the official notice is mirrored in a stable text page.,2026-06-18
ww-3.4-phase-1-preview,3.4,Phase 1,preview,Version 3.4 Preview,,,,,,https://www.dearplayers.com/en-PH/updates/wuthering-waves/2058850561991057878,official_social,2026-05-29,official,Preview broadcast checkpoint completed and replaced by the Version 3.4 tracked banner row.,2026-06-18
ww-3.5-phase-1-character,3.5,Phase 1,character,Version 3.5 Phase 1,Yangyang: Xuanling|Lynae|Luuk Herssen,,2026-07-10 10:00,2026-07-30 09:59,Server time,https://x.com/Wuthering_Waves/status/2074780539987669344,official_social,2026-07-08,official,Official Version 3.5 event calendar and convene notices confirm Yangyang: Xuanling with Lynae and Luuk Herssen reruns through July 30 server time.,2026-07-30
ww-3.5-phase-1-weapon,3.5,Phase 1,weapon,Version 3.5 Phase 1 Weapons,,Azure Oath|Spectrum Blaster|Daybreaker's Spine,2026-07-10 10:00,2026-07-30 09:59,Server time,https://x.com/Wuthering_Waves/status/2074780539987669344,official_social,2026-07-08,official,Official Version 3.5 event calendar and weapon convene notices confirm Azure Oath plus Spectrum Blaster and Daybreaker's Spine through July 30 server time.,2026-07-30
ww-3.5-phase-2-character,3.5,Phase 2,character,Version 3.5 Phase 2,Suisui|Aemeath,,2026-07-30 10:00,2026-08-19 11:59,Server time,https://x.com/Wuthering_Waves/status/2074780539987669344,official_social,2026-07-08,official,Official Version 3.5 event calendar and Phase II promotion confirm Suisui with an Aemeath rerun from July 30 through August 19 server time.,2026-07-30
ww-3.5-phase-2-weapon,3.5,Phase 2,weapon,Version 3.5 Phase 2 Weapons,,Firstlight's Herald|Everbright Polestar,2026-07-30 10:00,2026-08-19 11:59,Server time,https://x.com/Wuthering_Waves/status/2074780539987669344,official_social,2026-07-08,official,Official Version 3.5 event calendar and Phase II weapon promotion confirm Firstlight's Herald and Everbright Polestar from July 30 through August 19 server time.,2026-07-30
